gene_id,gene_name,qualifier,go_id,reference,evidence_code,go_aspect,full_name,synonyms,object_type,date,source
S000000164,PRS4,involved_in,GO:0009165,GO_REF:0000002,IEA,P,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,InterPro
S000000134,MRPL16,located_in,GO:0005739,GO_REF:0000044,IEA,C,Mitochondrial ribosomal protein of the large subunit,YBL038W|YmL47|mitochondrial 54S ribosomal protein YmL47|RML16|uL16m,protein,20210410,UniProt
S000000134,MRPL16,located_in,GO:0005840,GO_REF:0000002,IEA,C,Mitochondrial ribosomal protein of the large subunit,YBL038W|YmL47|mitochondrial 54S ribosomal protein YmL47|RML16|uL16m,protein,20210410,InterPro
S000000134,MRPL16,located_in,GO:0005840,GO_REF:0000002,IEA,C,Mitochondrial ribosomal protein of the large subunit,YBL038W|YmL47|mitochondrial 54S ribosomal protein YmL47|RML16|uL16m,protein,20210410,InterPro
S000000134,MRPL16,located_in,GO:0005840,GO_REF:0000002,IEA,C,Mitochondrial ribosomal protein of the large subunit,YBL038W|YmL47|mitochondrial 54S ribosomal protein YmL47|RML16|uL16m,protein,20210410,InterPro
S000000164,PRS4,involved_in,GO:0016310,GO_REF:0000043,IEA,P,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",YBL068W|ribose phosphate diphosphokinase subunit PRS4,protein,20210410,UniProt
S000000134,MRPL16,located_in,GO:0005840,GO_REF:0000043,IEA,C,Mitochondrial ribosomal protein of the large subunit,YBL038W|YmL47|mitochondrial 54S ribosomal protein YmL47|RML16|uL16m,protein,20210410,UniProt
S000000133,APL3,involved_in,GO:0006886,GO_REF:0000002,IEA,P,Alpha-adaptin,YBL037W,protein,20210410,InterPro
S000000133,APL3,involved_in,GO:0006886,GO_REF:0000002,IEA,P,Alpha-adaptin,YBL037W,protein,20210410,InterPro
S000000133,APL3,involved_in,GO:0006886,GO_REF:0000002,IEA,P,Alpha-adaptin,YBL037W,protein,20210410,InterPro
S000000133,APL3,involved_in,GO:0006897,GO_REF:0000043,IEA,P,Alpha-adaptin,YBL037W,protein,20210410,UniProt
S000000133,APL3,involved_in,GO:0015031,GO_REF:0000002,IEA,P,Alpha-adaptin,YBL037W,protein,20210410,InterPro
S000000133,APL3,involved_in,GO:0015031,GO_REF:0000043,IEA,P,Alpha-adaptin,YBL037W,protein,20210410,UniProt
