gene_id,gene_name,qualifier,go_id,reference,evidence_code,go_aspect,full_name,synonyms,object_type,date,source
S000003653,PHO86,involved_in,GO:0006817,GO_REF:0000043,IEA,P,Endoplasmic reticulum (ER) resident protein,YJL117W,protein,20210410,UniProt
S000003653,PHO86,located_in,GO:0016020,GO_REF:0000043,IEA,C,Endoplasmic reticulum (ER) resident protein,YJL117W,protein,20210410,UniProt
S000003653,PHO86,located_in,GO:0016020,GO_REF:0000044,IEA,C,Endoplasmic reticulum (ER) resident protein,YJL117W,protein,20210410,UniProt
S000000237,EDS1,enables,GO:0046872,GO_REF:0000043,IEA,F,"Putative zinc cluster protein, predicted to be a transcription factor",YBR033W,protein,20210410,UniProt
S000000258,YRO2,involved_in,GO:0034220,GO_REF:0000108,IEA,P,Protein with a putative role in response to acid stress,YBR054W,protein,20210411,GOC
S000000239,PDX3,enables,GO:0016638,GO_REF:0000002,IEA,F,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,InterPro
S000000258,YRO2,located_in,GO:0016020,GO_REF:0000002,IEA,C,Protein with a putative role in response to acid stress,YBR054W,protein,20210410,InterPro
S000000258,YRO2,located_in,GO:0016020,GO_REF:0000043,IEA,C,Protein with a putative role in response to acid stress,YBR054W,protein,20210410,UniProt
S000000239,PDX3,involved_in,GO:0008615,GO_REF:0000002,IEA,P,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,InterPro
S000000239,PDX3,involved_in,GO:0008615,GO_REF:0000043,IEA,P,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,UniProt
S000000239,PDX3,located_in,GO:0005739,GO_REF:0000043,IEA,C,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,UniProt
S000000239,PDX3,located_in,GO:0005758,GO_REF:0000044,IEA,C,Pyridoxine (pyridoxamine) phosphate oxidase,YBR035C|pyridoxamine-phosphate oxidase PDX3,protein,20210410,UniProt
S000000243,ATP3,enables,GO:0046933,GO_REF:0000002,IEA,F,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,InterPro
S000000243,ATP3,enables,GO:0046933,GO_REF:0000002,IEA,F,Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase,YBR039W|F1F0 ATP synthase subunit gamma,protein,20210410,InterPro
