gene_id,gene_name,full_name,qualifier,go_id,evidence,go_aspect,synonyms,date,assigned_by
S000000961,BUR6,Subunit of a heterodimeric NC2 transcription regulator complex,involved_in,GO:0000122,IBA,P,YER159C|NCB1|negative cofactor 2 transcription regulator complex subunit BUR6,20200605,GO_Central
S000005885,HAP5,Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex,involved_in,GO:0006355,IBA,P,YOR358W,20200929,GO_Central
S000001126,STE12,Transcription factor that is activated by a MAPK signaling cascade,enables,GO:0003700,IBA,F,YHR084W|homeodomain family transcription factor STE12,20180419,GO_Central
S000003704,SET2,Histone methyltransferase with a role in transcriptional elongation,involved_in,GO:0006355,IBA,P,YJL168C|EZL1|KMT3|histone methyltransferase SET2,20181004,GO_Central
S000004489,YOX1,Homeobox transcriptional repressor,involved_in,GO:0006357,IBA,P,YML027W,20200925,GO_Central
S000005821,UAF30,Subunit of UAF (upstream activation factor) complex,involved_in,GO:0006357,IBA,P,YOR295W,20200618,GO_Central
S000028512,PCC1,Component of the EKC/KEOPS protein complex,involved_in,GO:0045944,IBA,P,YKR095W-A|chromatin DNA-binding EKC/KEOPS complex subunit PCC1,20190410,GO_Central
S000006151,USV1,Putative transcription factor containing a C2H2 zinc finger,involved_in,GO:0006357,IBA,P,YPL230W|NSF1,20201216,GO_Central
S000003064,TOS8,Homeodomain-containing protein and putative transcription factor,involved_in,GO:0006357,IBA,P,YGL096W,20200929,GO_Central
S000002433,NSI1,RNA polymerase I termination factor,enables,GO:0003700,IBA,F,YDR026C|YTT1,20200911,GO_Central
