gene_id,gene_name,full_name,qualifier,go_id,evidence,go_aspect,synonyms,date,assigned_by
S000003095,SOH1,Subunit of the RNA polymerase II mediator complex,involved_in,GO:0006357,IBA,P,YGL127C|MED31|mediator complex subunit SOH1,20170228,GO_Central
S000002206,STP4,Protein containing a Kruppel-type zinc-finger domain,involved_in,GO:0006357,IBA,P,YDL048C,20210102,GO_Central
S000005666,SFL1,Transcriptional repressor and activator,involved_in,GO:0006357,IBA,P,YOR140W,20200929,GO_Central
S000001100,MED6,Subunit of the RNA polymerase II mediator complex,involved_in,GO:0006357,IBA,P,YHR058C|mediator complex subunit MED6,20170228,GO_Central
S000000629,SNT1,Set3C histone deacetylase scaffold,involved_in,GO:0000122,IBA,P,YCR033W|[ESI+],20200924,GO_Central
S000003617,ARP4,Nuclear actin-related protein involved in chromatin remodeling,involved_in,GO:0006357,IBA,P,YJL081C|ACT3,20190301,GO_Central
S000005821,UAF30,Subunit of UAF (upstream activation factor) complex,contributes_to,GO:0001228,IBA,F,YOR295W,20200618,GO_Central
S000003041,HSF1,Trimeric heat shock transcription factor,involved_in,GO:0006357,IBA,P,YGL073W|EXA3|MAS3|stress-responsive transcription factor HSF1,20200929,GO_Central
S000004443,LEU3,"Zinc-knuckle transcription factor, repressor and activator",involved_in,GO:0006355,IBA,P,YLR451W|leucine-responsive transcriptional regulator LEU3,20200809,GO_Central
S000004618,SOK2,Nuclear protein that negatively regulates pseudohyphal differentiation,involved_in,GO:0045944,IBA,P,YMR016C,20170228,GO_Central
S000000011,DEP1,Component of the Rpd3L histone deacetylase complex,involved_in,GO:0000122,IBA,P,YAL013W|FUN54|Rpd3L histone deacetylase complex subunit DEP1,20170228,GO_Central
S000000253,REB1,RNA polymerase I enhancer binding protein,involved_in,GO:0006355,IBA,P,YBR049C|GRF2|DNA-binding protein REB1|EBF1,20200911,GO_Central
S000004564,TAF13,TFIID subunit (19 kDa),involved_in,GO:0006366,IBA,P,YML098W|TAF19|FUN81|TafII19,20200601,GO_Central
S000001742,DAL80,Negative regulator of genes in multiple nitrogen degradation pathways,involved_in,GO:0006357,IBA,P,YKR034W|UGA43,20201217,GO_Central
S000001526,PHD1,Transcriptional activator that enhances pseudohyphal growth,enables,GO:0003700,IBA,F,YKL043W,20170228,GO_Central
S000001456,MET28,bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex,involved_in,GO:0006357,IBA,P,YIR017C,20200930,GO_Central
S000001392,ASG1,Zinc cluster protein proposed to be a transcriptional regulator,involved_in,GO:0045944,IBA,P,YIL130W,20201002,GO_Central
S000003011,DST1,General transcription elongation factor TFIIS,involved_in,GO:0000122,IBA,P,YGL043W|P37|TFIIS|S-II|SII|PPR2|transcription elongation factor DST1,20190312,GO_Central
S000004846,TRI1,Non-essential sumoylated protein of unknown function,contributes_to,GO:0001228,IBA,F,YMR233W,20200618,GO_Central
S000003543,CTK2,Beta subunit of C-terminal domain kinase I (CTDK-I),involved_in,GO:0006357,IBA,P,YJL006C,20180910,GO_Central
S000005428,RTG1,Transcription factor (bHLH) involved in interorganelle communication,involved_in,GO:0006357,IBA,P,YOL067C,20200921,GO_Central
S000004849,TAF9,Subunit (17 kDa) of TFIID and SAGA complexes,involved_in,GO:0045944,IBA,P,YMR236W|TAF17|TafII17|chromatin modification protein,20170228,GO_Central
S000002392,MFG1,Regulator of filamentous growth,involved_in,GO:0045944,IBA,P,YDL233W,20170828,GO_Central
S000004972,CRZ1,"Transcription factor, activates transcription of stress response genes",involved_in,GO:0006355,IBA,P,YNL027W|HAL8|TCN1|DNA-binding transcription factor CRZ1,20200930,GO_Central
S000001456,MET28,bZIP transcriptional activator in the Cbf1p-Met4p-Met28p complex,enables,GO:0001228,IBA,F,YIR017C,20200319,GO_Central
S000002856,ADA2,Transcription coactivator,involved_in,GO:0006357,IBA,P,YDR448W|SWI8|chromatin-binding transcription regulator ADA2,20170228,GO_Central
S000004680,RCO1,Essential component of the Rpd3S histone deacetylase complex,involved_in,GO:0045944,IBA,P,YMR075W,20180413,GO_Central
S000002716,SRB7,Subunit of the RNA polymerase II mediator complex,involved_in,GO:0006357,IBA,P,YDR308C|MED21|SSX1,20170228,GO_Central
S000002134,FUN19,Non-essential protein of unknown function,involved_in,GO:0006357,IBA,P,YAL034C,20170228,GO_Central
S000006219,YPR015C,Putative zinc finger transcription factor,involved_in,GO:0006357,IBA,P,YPR015C,20200908,GO_Central
S000000847,ACA1,ATF/CREB family basic leucine zipper (bZIP) transcription factor,involved_in,GO:0006357,IBA,P,YER045C,20200930,GO_Central
S000005306,SNF12,73 kDa subunit of the SWI/SNF chromatin remodeling complex,involved_in,GO:0045944,IBA,P,YNR023W|SWP73,20200618,GO_Central
