assembly_id,annotation_type,species_name,gff3_archive_path,pep_archive_path,cds_archive_path,genome_archive_path,is_reference
yHMPu5000035255_wickerhamomyces_rabaulensis_170307,final,Wickerhamomyces rabaulensis,y1000p_gff3_files/yHMPu5000035255_wickerhamomyces_rabaulensis_170307.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035255_wickerhamomyces_rabaulensis_170307.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035255_wickerhamomyces_rabaulensis_170307.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035255_wickerhamomyces_rabaulensis_170307.haplomerger2.fas.gz,False
yHMPu5000035257_wickerhamomyces_strasburgensis_170307,final,Wickerhamomyces strasburgensis,y1000p_gff3_files/yHMPu5000035257_wickerhamomyces_strasburgensis_170307.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035257_wickerhamomyces_strasburgensis_170307.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035257_wickerhamomyces_strasburgensis_170307.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035257_wickerhamomyces_strasburgensis_170307.haplomerger2.fas.gz,False
yHMPu5000035258_wickerhamomyces_subpelliculosus_160928,final,Wickerhamomyces subpelliculosus,y1000p_gff3_files/yHMPu5000035258_wickerhamomyces_subpelliculosus_160928.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035258_wickerhamomyces_subpelliculosus_160928.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035258_wickerhamomyces_subpelliculosus_160928.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035258_wickerhamomyces_subpelliculosus_160928.haplomerger2.fas.gz,False
yHMPu5000035259_wickerhamomyces_sydowiorum_170307,final,Wickerhamomyces sydowiorum,y1000p_gff3_files/yHMPu5000035259_wickerhamomyces_sydowiorum_170307.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035259_wickerhamomyces_sydowiorum_170307.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035259_wickerhamomyces_sydowiorum_170307.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035259_wickerhamomyces_sydowiorum_170307.haplomerger2.fas.gz,False
yHMPu5000035260_candida_peoriensis_170713,final,Candida peoriensis,y1000p_gff3_files/yHMPu5000035260_candida_peoriensis_170713.final.gff3,y1000p_pep_files/yHMPu5000035260_candida_peoriensis_170713.final.pep,y1000p_cds_files/yHMPu5000035260_candida_peoriensis_170713.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035260_candida_peoriensis_170713.fas.gz,False
yHMPu5000035261_candida_ponderosae_170307,final,Candida ponderosae,y1000p_gff3_files/yHMPu5000035261_candida_ponderosae_170307.final.gff3,y1000p_pep_files/yHMPu5000035261_candida_ponderosae_170307.final.pep,y1000p_cds_files/yHMPu5000035261_candida_ponderosae_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035261_candida_ponderosae_170307.fas.gz,False
yHMPu5000035262_candida_silvicultrix_170307,final,Candida silvicultrix,y1000p_gff3_files/yHMPu5000035262_candida_silvicultrix_170307.final.gff3,y1000p_pep_files/yHMPu5000035262_candida_silvicultrix_170307.final.pep,y1000p_cds_files/yHMPu5000035262_candida_silvicultrix_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035262_candida_silvicultrix_170307.fas.gz,False
yHMPu5000035263_Candida_solani_SPADES,final,Candida solani SPADES,y1000p_gff3_files/yHMPu5000035263_Candida_solani_SPADES.final.gff3,y1000p_pep_files/yHMPu5000035263_Candida_solani_SPADES.final.pep,y1000p_cds_files/yHMPu5000035263_Candida_solani_SPADES.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035263_Candida_solani_SPADES.fas.gz,False
yHMPu5000035265_Candida_sp_SPADES,final,Candida sp SPADES,y1000p_gff3_files/yHMPu5000035265_Candida_sp_SPADES.final.gff3,y1000p_pep_files/yHMPu5000035265_Candida_sp_SPADES.final.pep,y1000p_cds_files/yHMPu5000035265_Candida_sp_SPADES.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035265_Candida_sp_SPADES.fas.gz,False
yHMPu5000035266_wickerhamomyces_onychis_170307,final,Wickerhamomyces onychis,y1000p_gff3_files/yHMPu5000035266_wickerhamomyces_onychis_170307.haplomerger2.final.gff3,y1000p_pep_files/yHMPu5000035266_wickerhamomyces_onychis_170307.haplomerger2.final.pep,y1000p_cds_files/yHMPu5000035266_wickerhamomyces_onychis_170307.haplomerger2.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035266_wickerhamomyces_onychis_170307.haplomerger2.fas.gz,False
yHMPu5000035267_wickerhamomyces_lynferdii_170307,final,Wickerhamomyces lynferdii,y1000p_gff3_files/yHMPu5000035267_wickerhamomyces_lynferdii_170307.final.gff3,y1000p_pep_files/yHMPu5000035267_wickerhamomyces_lynferdii_170307.final.pep,y1000p_cds_files/yHMPu5000035267_wickerhamomyces_lynferdii_170307.final.cds.tar.gz,y1000p_genome_files/yHMPu5000035267_wickerhamomyces_lynferdii_170307.fas.gz,False
